statuses_count,followers_count,friends_count,favourites_count,listed_count,default_profile,default_profile_image,geo_enabled,profile_use_background_image,utc_offset,is_translator,protected,verified,followers_friends_ratio,friends_followers_ratio,friends_followers_gap,account_age_days,tweets_per_day,statuses_followers_ratio,statuses_friends_ratio,favourites_statuses_ratio,has_description,description_length,description_has_spam_keyword,description_has_url,name_length,screen_name_length,screen_name_digit_ratio,screen_name_has_digits,screen_name_has_spam_keyword,spam_keyword_count,label
25,326,245,0,14,,,1.0,1.0,-14400.0,,,,1.3252032520325203,0.7492354740061162,-81,2399.0,0.0104210087536473,0.0764525993883792,0.1016260162601626,0.0,1,108,1,0,17,11,0.0,0,0,1,1
55,4,37,0,0,,,,1.0,,,,,0.1052631578947368,7.4,33,61.0,0.9016393442622952,11.0,1.4473684210526316,0.0,0,0,0,0,16,15,0.0,0,0,0,1
69,6,41,0,0,,,,1.0,,,,,0.1428571428571428,5.857142857142857,35,70.0,0.9857142857142858,9.857142857142858,1.6428571428571428,0.0,0,0,0,0,10,9,0.0,0,0,0,1
54336,717,638,56683,0,,,,1.0,-25200.0,,,,1.1220657276995305,0.8885793871866295,-79,1045.0,51.99617224880383,75.67688022284122,85.03286384976526,1.0431750004600917,1,22,0,0,5,15,0.0,0,0,0,0
13155,3153,167,1604,13,,,1.0,1.0,-25200.0,,,,18.767857142857142,0.0529486366518706,-2986,315.0,41.76190476190476,4.170894102726696,78.30357142857143,0.1219215567041653,1,28,0,0,15,13,0.0,0,0,0,0
261,473,315,0,44,,,1.0,1.0,-14400.0,,,,1.4968354430379749,0.6645569620253164,-158,2383.0,0.1095258078052874,0.5506329113924051,0.8259493670886076,0.0,1,115,1,0,19,14,0.0,0,0,1,1
63,3,42,0,0,,,,1.0,,,,,0.0697674418604651,10.5,39,63.0,1.0,15.75,1.4651162790697674,0.0,0,0,0,0,15,14,0.0,0,0,0,1
80,4,38,0,0,,,,1.0,,,,,0.1025641025641025,7.6,34,71.0,1.1267605633802815,16.0,2.051282051282051,0.0,0,0,0,0,12,11,0.0,0,0,0,1
62,3,42,0,0,,,,1.0,,,,,0.0697674418604651,10.5,39,66.0,0.9393939393939394,15.5,1.441860465116279,0.0,0,0,0,0,12,11,0.0,0,0,0,1
66,6,39,0,0,,,,1.0,,,,,0.15,5.571428571428571,33,69.0,0.9565217391304348,9.428571428571429,1.65,0.0,0,0,0,0,15,14,0.0,0,0,0,1
15924,1649,1475,1,9,,,,1.0,-18000.0,,,,1.117208672086721,0.8939393939393939,-174,1403.0,11.349964362081254,9.65090909090909,10.788617886178862,6.279434850863422e-05,1,61,0,1,14,13,0.0,0,0,0,1
370,6077,6260,0,8,,,,1.0,10800.0,,,,0.9706117233668744,1.0299440605462322,183,866.0,0.4272517321016166,0.0608752879236591,0.0590959910557419,0.0,1,33,0,0,5,10,0.0,0,0,0,1
