,importance
favourites_count,0.2575701458282671
favourites_statuses_ratio,0.22045040351282835
statuses_count,0.11498569422872686
statuses_friends_ratio,0.0828027780217979
tweets_per_day,0.06955813864966248
followers_count,0.04049435264152962
friends_count,0.03919171592445026
statuses_followers_ratio,0.03581638704426901
account_age_days,0.032413119171098556
followers_friends_ratio,0.02342042955145649
friends_followers_ratio,0.01668803914557053
description_length,0.01505225663462427
friends_followers_gap,0.013263286263104542
has_description,0.010762988179896368
utc_offset,0.010659847943115341
name_length,0.004702262098423111
listed_count,0.0029316288763757445
screen_name_length,0.0029137801315860163
spam_keyword_count,0.0026297969634916365
description_has_spam_keyword,0.0020651417905596632
screen_name_digit_ratio,0.0008936732839599344
screen_name_has_digits,0.00032759729768340267
description_has_url,0.0002698333538515523
screen_name_has_spam_keyword,0.00013670346367136894
protected,0.0
profile_use_background_image,0.0
verified,0.0
geo_enabled,0.0
default_profile_image,0.0
default_profile,0.0
is_translator,0.0
